seed,config,imputation_accuracy,bias_vs_r2_pearson,bias_vs_r2_spearman,attention_vs_r2_pearson,attention_vs_r2_spearman
0,none,0.443198,0.0,0.0,-0.060796,-0.279615
0,distance_only,0.637798,0.247362,0.131222,0.283142,0.109669
0,genotype_only,0.447756,0.026306,0.18805,-0.055867,-0.128471
0,full,0.64446,0.239301,0.27588,0.28668,0.196547
1,none,0.493862,0.0,0.0,-0.074868,-0.116997
1,distance_only,0.663627,0.072348,0.011748,0.088204,0.015817
1,genotype_only,0.457734,0.071861,0.103141,-0.028957,-0.071677
1,full,0.489653,0.118964,0.192387,0.009867,0.030387
2,none,0.395783,0.0,0.0,-0.104645,-0.322528
2,distance_only,0.651227,0.146444,0.121679,0.182209,0.126248
2,genotype_only,0.428966,0.10491,0.171927,0.001231,-0.023323
2,full,0.641549,0.228725,0.292066,0.276327,0.226905
