experiment,config,seed,mask_rate,model,model_dosage_r2,majority,explicit_ld
ablation,both,0,0.1,0.9942440390586853,0.9887082475423803,0.634305477142334,0.9435917139053345
ablation,both,0,0.3,0.9898806214332581,0.9816582286964746,0.6327192783355713,0.9286455512046814
ablation,both,0,0.5,0.9802279472351074,0.9683686666302584,0.6337907910346985,0.9099790453910828
ablation,both,0,0.7,0.9488639831542969,0.9113077726524921,0.6355161070823669,0.8620554804801941
ablation,both,1,0.1,0.9956538677215576,0.9946369506362238,0.7143421769142151,0.970367431640625
ablation,both,1,0.3,0.9912303686141968,0.9877297517314219,0.6977748870849609,0.9575915932655334
ablation,both,1,0.5,0.9803998470306396,0.9712716501722731,0.6976872086524963,0.9431595206260681
ablation,both,1,0.7,0.9438912272453308,0.9129102128476951,0.6975833773612976,0.886775553226471
ablation,both,2,0.1,0.9903653264045715,0.9871308295705603,0.7611401081085205,0.9670814871788025
ablation,both,2,0.3,0.9852656126022339,0.9800629618329282,0.7659299373626709,0.9519193768501282
ablation,both,2,0.5,0.972382128238678,0.9633906312593901,0.7655982375144958,0.9404076337814331
ablation,both,2,0.7,0.949966549873352,0.9326036020668802,0.7719523310661316,0.9148651957511902
ablation,both,3,0.1,0.9896273612976074,0.9840049591680646,0.6158279180526733,0.9489051103591919
ablation,both,3,0.3,0.9870179891586304,0.9810409596945568,0.6136246919631958,0.9404884576797485
ablation,both,3,0.5,0.9768219590187073,0.9671207863348741,0.6175624132156372,0.9135879278182983
ablation,both,3,0.7,0.9429365992546082,0.9179847749295647,0.6207453012466431,0.8651835322380066
ablation,both,4,0.1,0.9755998253822327,0.9612782955746866,0.6063440442085266,0.9434729814529419
ablation,both,4,0.3,0.9734524488449097,0.9573163478472146,0.6100751161575317,0.937192440032959
ablation,both,4,0.5,0.95891273021698,0.9337601314928747,0.6129310727119446,0.9156257510185242
ablation,both,4,0.7,0.923051118850708,0.872889324322589,0.6131289005279541,0.8769376873970032
ablation,both,5,0.1,0.9843505620956421,0.9806997559835828,0.6815336346626282,0.9491392970085144
ablation,both,5,0.3,0.9833225011825562,0.9730877508445701,0.68625408411026,0.9438436627388
ablation,both,5,0.5,0.9750427603721619,0.9586109938737799,0.6877623796463013,0.9276939630508423
ablation,both,5,0.7,0.9454982876777649,0.9047842907647272,0.6861395835876465,0.8832186460494995
ablation,both,6,0.1,0.9878373146057129,0.9767926674044816,0.6480425596237183,0.9399467706680298
ablation,both,6,0.3,0.9848504662513733,0.9723960668046381,0.6558332443237305,0.938495397567749
ablation,both,6,0.5,0.9744367003440857,0.9539629318220513,0.6543123722076416,0.9138306379318237
ablation,both,6,0.7,0.9449827671051025,0.900963958179787,0.6573114991188049,0.8699743747711182
ablation,both,7,0.1,0.9901290535926819,0.9871745343195961,0.6761579513549805,0.9468488693237305
ablation,both,7,0.3,0.9838191866874695,0.9796003977559309,0.6898677349090576,0.9363040924072266
ablation,both,7,0.5,0.9723957180976868,0.9645340102807154,0.6921890377998352,0.9259002208709717
ablation,both,7,0.7,0.938873827457428,0.9180929408899239,0.6936492919921875,0.889873206615448
ablation,both,8,0.1,0.9871382713317871,0.97572046541163,0.69493567943573,0.9477491974830627
ablation,both,8,0.3,0.9800682067871094,0.9618552944608041,0.6955153346061707,0.9446629881858826
ablation,both,8,0.5,0.9675955176353455,0.9435991284356682,0.6980275511741638,0.9218847751617432
ablation,both,8,0.7,0.9370403289794922,0.8850883990149327,0.6990751028060913,0.8897927403450012
ablation,both,9,0.1,0.9869227409362793,0.9740684987298351,0.7286473512649536,0.9546383619308472
ablation,both,9,0.3,0.9806586503982544,0.9593427108681887,0.7260847091674805,0.9260324239730835
ablation,both,9,0.5,0.96046382188797,0.9199532036645088,0.7321970462799072,0.913300633430481
ablation,both,9,0.7,0.9232519268989563,0.8399571221403335,0.7357380390167236,0.8742508292198181
