experiment,config,metric,mean,std,sem,n
ablation,no_bias,imputation_accuracy,0.9831729412078858,0.0034991306707232066,0.0011065222750037992,10
ablation,no_bias,dosage_r2,0.9727163694754541,0.008559695833313417,0.0027068134911523377,10
ablation,no_bias,train_accuracy,0.9905702592762592,0.0034861815161632828,0.001102427392785508,10
ablation,no_bias,val_accuracy,0.984940904378891,0.0029268341589862227,0.0009255462275979838,10
ablation,no_bias,baseline_majority_accuracy,0.6832140505313873,0.047926186004846535,0.015155590734020062,10
ablation,no_bias,baseline_explicit_ld_accuracy,0.9418701827526093,0.009293561751320416,0.002938882270959587,10
ablation,no_bias,model_minus_explicit_ld,0.04130275845527649,0.009887959621405876,0.0031268473815418787,10
ablation,no_bias,model_minus_majority,0.2999588906764984,0.04803655097321803,0.0151904912014147,10
ablation,no_bias,explicit_r2_seconds,0.0005492308009706903,8.553980266866081e-05,2.7050060703431756e-05,10
ablation,no_bias,accuracy_maf_low,0.9812749266624451,0.006580844745017161,0.002081045832220424,10
ablation,no_bias,accuracy_maf_mid,0.978799432516098,0.008590533453054387,0.0027165652027523013,10
ablation,no_bias,accuracy_maf_high,0.983287799358368,0.010123516328836813,0.0032013369529030455,10
ablation,no_bias,baseline_explicit_ld_accuracy_maf_low,0.9529407024383545,0.0218144743135643,0.006898342479010132,10
ablation,no_bias,baseline_explicit_ld_accuracy_maf_mid,0.9369048595428466,0.020640594121813665,0.006527128968401412,10
ablation,no_bias,baseline_explicit_ld_accuracy_maf_high,0.9094519257545471,0.035572105375167896,0.011248887415304895,10
ablation,no_bias,baseline_majority_accuracy_maf_low,0.8576825320720672,0.02285656998633406,0.007227882065585927,10
ablation,no_bias,baseline_majority_accuracy_maf_mid,0.6745393693447113,0.023176760656086436,0.007329135245781156,10
ablation,no_bias,baseline_majority_accuracy_maf_high,0.5048901438713074,0.035512790289367546,0.011230130338231155,10
ablation,no_bias,attention_vs_r2_pearson,0.5546162635308116,0.10006091791658424,0.03164204053835563,10
ablation,no_bias,attention_vs_r2_spearman,0.4329285909659188,0.11015865563949946,0.03483522558029706,10
ablation,no_bias,bias_vs_r2_pearson,0.0,0.0,0.0,10
ablation,no_bias,bias_vs_r2_spearman,0.12107324785875649,0.06670068964358057,0.021092610077771922,10
ablation,no_bias,attention_vs_r2_partial_pearson,0.5025181876237889,0.10188886890958404,0.03222008939726021,10
ablation,no_bias,bias_vs_r2_partial_pearson,0.0,0.0,0.0,10
ablation,no_bias,distance_baseline_vs_r2_pearson,0.24757869866220433,0.111668964687417,0.035312827236515035,10
ablation,distance_only,imputation_accuracy,0.9835368931293488,0.004662308596071997,0.0014743514318169475,10
ablation,distance_only,dosage_r2,0.9727033001816018,0.009999648250094886,0.0031621664270816883,10
ablation,distance_only,train_accuracy,0.9904161465677932,0.003751977955795552,0.0011864796071056497,10
ablation,distance_only,val_accuracy,0.984983605146408,0.003108360223021364,0.000982949809301646,10
ablation,distance_only,baseline_majority_accuracy,0.6832140505313873,0.047926186004846535,0.015155590734020062,10
ablation,distance_only,baseline_explicit_ld_accuracy,0.9418701827526093,0.009293561751320416,0.002938882270959587,10
ablation,distance_only,model_minus_explicit_ld,0.0416667103767395,0.010111016333279387,0.0031973841072327003,10
ablation,distance_only,model_minus_majority,0.30032284259796144,0.04770399899408018,0.015085329031967458,10
ablation,distance_only,explicit_r2_seconds,0.0006641522988502402,0.00020308427742091919,6.422088736196103e-05,10
ablation,distance_only,accuracy_maf_low,0.9817458987236023,0.008035872910115899,0.0025411661383611768,10
ablation,distance_only,accuracy_maf_mid,0.9776896476745606,0.009813701242141723,0.003103364820159144,10
ablation,distance_only,accuracy_maf_high,0.9854143559932709,0.00893514043428074,0.0028255394985793173,10
ablation,distance_only,baseline_explicit_ld_accuracy_maf_low,0.9529407024383545,0.0218144743135643,0.006898342479010132,10
ablation,distance_only,baseline_explicit_ld_accuracy_maf_mid,0.9369048595428466,0.020640594121813665,0.006527128968401412,10
ablation,distance_only,baseline_explicit_ld_accuracy_maf_high,0.9094519257545471,0.035572105375167896,0.011248887415304895,10
ablation,distance_only,baseline_majority_accuracy_maf_low,0.8576825320720672,0.02285656998633406,0.007227882065585927,10
ablation,distance_only,baseline_majority_accuracy_maf_mid,0.6745393693447113,0.023176760656086436,0.007329135245781156,10
ablation,distance_only,baseline_majority_accuracy_maf_high,0.5048901438713074,0.035512790289367546,0.011230130338231155,10
ablation,distance_only,attention_vs_r2_pearson,0.5549974675425878,0.1210520393292459,0.03828001596886983,10
ablation,distance_only,attention_vs_r2_spearman,0.42461036099804145,0.0816157836804221,0.02580917694497338,10
ablation,distance_only,bias_vs_r2_pearson,0.2313889674856924,0.10153626359275637,0.03210858580563414,10
ablation,distance_only,bias_vs_r2_spearman,0.16033995379929933,0.0754075291152893,0.0238459544729776,10
ablation,distance_only,attention_vs_r2_partial_pearson,0.5052673775408916,0.11339421061903555,0.035858397903300414,10
ablation,distance_only,bias_vs_r2_partial_pearson,0.037970347428051346,0.05001423764278689,0.01581589063881374,10
ablation,distance_only,distance_baseline_vs_r2_pearson,0.24757869866220433,0.111668964687417,0.035312827236515035,10
ablation,genotype_only,imputation_accuracy,0.983782947063446,0.004409477822821804,0.0013943993212117292,10
ablation,genotype_only,dosage_r2,0.973547155174104,0.008953552727228127,0.002831361976845317,10
ablation,genotype_only,train_accuracy,0.9902974728506729,0.004119722513604686,0.001302770647086482,10
ablation,genotype_only,val_accuracy,0.9859954178333282,0.004140918503231256,0.0013094734075346083,10
ablation,genotype_only,baseline_majority_accuracy,0.6832140505313873,0.047926186004846535,0.015155590734020062,10
ablation,genotype_only,baseline_explicit_ld_accuracy,0.9418701827526093,0.009293561751320416,0.002938882270959587,10
ablation,genotype_only,model_minus_explicit_ld,0.04191276431083679,0.010226256784346584,0.003233826337628453,10
ablation,genotype_only,model_minus_majority,0.3005688965320587,0.047983828951779654,0.01517381903435535,10
ablation,genotype_only,explicit_r2_seconds,0.0008736484975088388,0.00047997967071115855,0.00015178289900248716,10
ablation,genotype_only,accuracy_maf_low,0.9812776029109955,0.007512736739281747,0.00237573595573569,10
ablation,genotype_only,accuracy_maf_mid,0.9795031785964966,0.009313802087238832,0.002945282827170498,10
ablation,genotype_only,accuracy_maf_high,0.9846260726451874,0.00962269727726265,0.0030429640630450765,10
ablation,genotype_only,baseline_explicit_ld_accuracy_maf_low,0.9529407024383545,0.0218144743135643,0.006898342479010132,10
ablation,genotype_only,baseline_explicit_ld_accuracy_maf_mid,0.9369048595428466,0.020640594121813665,0.006527128968401412,10
ablation,genotype_only,baseline_explicit_ld_accuracy_maf_high,0.9094519257545471,0.035572105375167896,0.011248887415304895,10
ablation,genotype_only,baseline_majority_accuracy_maf_low,0.8576825320720672,0.02285656998633406,0.007227882065585927,10
ablation,genotype_only,baseline_majority_accuracy_maf_mid,0.6745393693447113,0.023176760656086436,0.007329135245781156,10
ablation,genotype_only,baseline_majority_accuracy_maf_high,0.5048901438713074,0.035512790289367546,0.011230130338231155,10
ablation,genotype_only,attention_vs_r2_pearson,0.6307021329383617,0.07166921220460883,0.022663794867650144,10
ablation,genotype_only,attention_vs_r2_spearman,0.4023599607167505,0.07891404661944214,0.024954812669814787,10
ablation,genotype_only,bias_vs_r2_pearson,0.6553065636998839,0.06752851339454596,0.021354390933195386,10
ablation,genotype_only,bias_vs_r2_spearman,0.36223828258573243,0.12535900779891593,0.03964199898633854,10
ablation,genotype_only,attention_vs_r2_partial_pearson,0.5930396330793254,0.07199092740525362,0.022765530146843706,10
ablation,genotype_only,bias_vs_r2_partial_pearson,0.6185703869246886,0.06491796558884773,0.020528863232519276,10
ablation,genotype_only,distance_baseline_vs_r2_pearson,0.24757869866220433,0.111668964687417,0.035312827236515035,10
ablation,both,imputation_accuracy,0.984759908914566,0.004856501490045204,0.0015357606168544394,10
ablation,both,dosage_r2,0.9749484741176857,0.009844260057480667,0.0031130283660658997,10
ablation,both,train_accuracy,0.9908905650220323,0.0037173798225300877,0.001175538716714759,10
ablation,both,val_accuracy,0.9855952382087707,0.0036725608384484266,0.001161365709503471,10
ablation,both,baseline_majority_accuracy,0.6832140505313873,0.047926186004846535,0.015155590734020062,10
ablation,both,baseline_explicit_ld_accuracy,0.9418701827526093,0.009293561751320416,0.002938882270959587,10
ablation,both,model_minus_explicit_ld,0.042889726161956784,0.010276934021091635,0.003249851886992247,10
ablation,both,model_minus_majority,0.3015458583831787,0.0474555110959976,0.015006750259074584,10
ablation,both,explicit_r2_seconds,0.0004722662997664884,6.259594186098946e-05,1.9794574856420567e-05,10
ablation,both,accuracy_maf_low,0.9826914191246032,0.007367794052143781,0.0023299010535815737,10
ablation,both,accuracy_maf_mid,0.9793395340442658,0.01053095868913045,0.00333018154027933,10
ablation,both,accuracy_maf_high,0.9861375331878662,0.006730675050206472,0.002128426334912061,10
ablation,both,baseline_explicit_ld_accuracy_maf_low,0.9529407024383545,0.0218144743135643,0.006898342479010132,10
ablation,both,baseline_explicit_ld_accuracy_maf_mid,0.9369048595428466,0.020640594121813665,0.006527128968401412,10
ablation,both,baseline_explicit_ld_accuracy_maf_high,0.9094519257545471,0.035572105375167896,0.011248887415304895,10
ablation,both,baseline_majority_accuracy_maf_low,0.8576825320720672,0.02285656998633406,0.007227882065585927,10
ablation,both,baseline_majority_accuracy_maf_mid,0.6745393693447113,0.023176760656086436,0.007329135245781156,10
ablation,both,baseline_majority_accuracy_maf_high,0.5048901438713074,0.035512790289367546,0.011230130338231155,10
ablation,both,attention_vs_r2_pearson,0.6219914277062184,0.09933445312404379,0.031412312199920675,10
ablation,both,attention_vs_r2_spearman,0.40941234837099816,0.0823983183294831,0.02605663612887671,10
ablation,both,bias_vs_r2_pearson,0.6540113404293995,0.07656242451624597,0.024211164465605246,10
ablation,both,bias_vs_r2_spearman,0.37514382416832553,0.1301954389819154,0.04117141281483264,10
ablation,both,attention_vs_r2_partial_pearson,0.5856349911065365,0.0888520452872474,0.028097483787213155,10
ablation,both,bias_vs_r2_partial_pearson,0.621059460490844,0.05531054955881737,0.017490731524148415,10
ablation,both,distance_baseline_vs_r2_pearson,0.24757869866220433,0.111668964687417,0.035312827236515035,10
population,both,imputation_accuracy,0.7079712927341462,0.012078209545299812,0.003819465221993407,10
population,both,dosage_r2,0.6239698827114413,0.022986208551737147,0.007268877379512973,10
population,both,train_accuracy,0.7866703158902536,0.020298034921735535,0.006418802237832189,10
population,both,val_accuracy,0.7134185016155243,0.011628826719802225,0.003677357894999971,10
population,both,baseline_majority_accuracy,0.5355214595794677,0.016288213970896387,0.005150785516420813,10
population,both,baseline_explicit_ld_accuracy,0.6334364771842956,0.017880479727054477,0.005654304159395797,10
population,both,model_minus_explicit_ld,0.07453481554985046,0.014984868637517357,0.004738631533297891,10
population,both,model_minus_majority,0.17244983315467835,0.020170153448215673,0.006378362565146062,10
population,both,explicit_r2_seconds,0.0008673378979437985,0.0003328324653724397,0.00010525086698260318,10
population,both,accuracy_maf_low,0.90721235871315,0.05350623414336439,0.016920156891129978,10
population,both,accuracy_maf_mid,0.7698959589004517,0.019325252765590016,0.006111181509773249,10
population,both,accuracy_maf_high,0.6769613802433014,0.019214510034705295,0.0060761615833829705,10
population,both,baseline_explicit_ld_accuracy_maf_low,0.8884599685668946,0.07860105517376693,0.024855836084166538,10
population,both,baseline_explicit_ld_accuracy_maf_mid,0.7031547129154205,0.021443464144739122,0.006781018762153017,10
population,both,baseline_explicit_ld_accuracy_maf_high,0.5953592360019684,0.027487067450351607,0.008692173934178829,10
population,both,baseline_majority_accuracy_maf_low,0.8851039230823516,0.07684505647475866,0.024300540538450675,10
population,both,baseline_majority_accuracy_maf_mid,0.6942586600780487,0.018268173011218802,0.005776903540546813,10
population,both,baseline_majority_accuracy_maf_high,0.4660240560770035,0.01399653419445275,0.004426092740290075,10
population,both,attention_vs_r2_pearson,0.48104498014390457,0.041311005421828896,0.013063686956454431,10
population,both,attention_vs_r2_spearman,0.14194069209720447,0.04595552974110719,0.01453241450615068,10
population,both,bias_vs_r2_pearson,0.2433062223792659,0.04782080941544877,0.015122267730564333,10
population,both,bias_vs_r2_spearman,0.124549946291334,0.03781862297275965,0.01195929865650885,10
population,both,attention_vs_r2_partial_pearson,0.28961822339167365,0.041097702893803864,0.01299623477453133,10
population,both,bias_vs_r2_partial_pearson,0.09065108953205975,0.027601414509017635,0.008728333649091384,10
population,both,distance_baseline_vs_r2_pearson,0.2507957351835771,0.02088362734876415,0.006603982822827827,10
population,both_pop_film,imputation_accuracy,0.7133970141410828,0.012601219652649412,0.003984855539844798,10
population,both_pop_film,dosage_r2,0.6304952949897874,0.024053473417123605,0.0076063761636423945,10
population,both_pop_film,train_accuracy,0.7946059317524325,0.017108546045368943,0.005410197295723228,10
population,both_pop_film,val_accuracy,0.7163230836391449,0.010709698390658572,0.0033867039967920842,10
population,both_pop_film,baseline_majority_accuracy,0.5355214595794677,0.016288213970896387,0.005150785516420813,10
population,both_pop_film,baseline_explicit_ld_accuracy,0.6334364771842956,0.017880479727054477,0.005654304159395797,10
population,both_pop_film,model_minus_explicit_ld,0.0799605369567871,0.013735499995092224,0.004343546478572302,10
population,both_pop_film,model_minus_majority,0.177875554561615,0.016279701039367933,0.005148093491101316,10
population,both_pop_film,explicit_r2_seconds,0.0005576011986704543,0.00013721867688003226,4.339235564555893e-05,10
population,both_pop_film,accuracy_maf_low,0.9095943152904511,0.0486121714301504,0.015372518372584012,10
population,both_pop_film,accuracy_maf_mid,0.7753715991973877,0.020896654821508463,0.006608102471430606,10
population,both_pop_film,accuracy_maf_high,0.6828559756278991,0.016722423852103572,0.005288094737137397,10
population,both_pop_film,baseline_explicit_ld_accuracy_maf_low,0.8884599685668946,0.07860105517376693,0.024855836084166538,10
population,both_pop_film,baseline_explicit_ld_accuracy_maf_mid,0.7031547129154205,0.021443464144739122,0.006781018762153017,10
population,both_pop_film,baseline_explicit_ld_accuracy_maf_high,0.5953592360019684,0.027487067450351607,0.008692173934178829,10
population,both_pop_film,baseline_majority_accuracy_maf_low,0.8851039230823516,0.07684505647475866,0.024300540538450675,10
population,both_pop_film,baseline_majority_accuracy_maf_mid,0.6942586600780487,0.018268173011218802,0.005776903540546813,10
population,both_pop_film,baseline_majority_accuracy_maf_high,0.4660240560770035,0.01399653419445275,0.004426092740290075,10
population,both_pop_film,attention_vs_r2_pearson,0.5144174367358028,0.027476397333583348,0.008688799746990064,10
population,both_pop_film,attention_vs_r2_spearman,0.17419815628659405,0.04055172504958819,0.01282358142056032,10
population,both_pop_film,bias_vs_r2_pearson,0.26652741800458485,0.03371853934188164,0.01066273836943409,10
population,both_pop_film,bias_vs_r2_spearman,0.1421806042793176,0.03461190093039352,0.010945244108814457,10
population,both_pop_film,attention_vs_r2_partial_pearson,0.332115737142117,0.031445856468869986,0.009944052941636887,10
population,both_pop_film,bias_vs_r2_partial_pearson,0.10763146130463444,0.019466121259423246,0.006155728038880289,10
population,both_pop_film,distance_baseline_vs_r2_pearson,0.2507957351835771,0.02088362734876415,0.006603982822827827,10
scaling,no_bias_n100,imputation_accuracy,0.9017253319422404,0.002605145676319027,0.00150408155750098,3
scaling,no_bias_n100,dosage_r2,0.8447122037285766,0.021027098296622238,0.012140000861831571,3
scaling,no_bias_n100,train_accuracy,0.9472039351844981,0.014434833376122922,0.008333954935411964,3
scaling,no_bias_n100,val_accuracy,0.9225617249806722,0.01496725439302028,0.008641348352839869,3
scaling,no_bias_n100,baseline_majority_accuracy,0.7237359086672465,0.0694967734275806,0.04012398084622409,3
scaling,no_bias_n100,baseline_explicit_ld_accuracy,0.8927179574966431,0.01859465272114205,0.01073562775403897,3
scaling,no_bias_n100,model_minus_explicit_ld,0.00900737444559733,0.02047767225962779,0.011822789591473037,3
scaling,no_bias_n100,model_minus_majority,0.1779894232749939,0.07208491414859894,0.041618244588204664,3
scaling,no_bias_n100,explicit_r2_seconds,0.0002489493393416827,9.785513366337913e-06,5.6496687762138755e-06,3
scaling,no_bias_n100,accuracy_maf_low,0.8877595861752828,0.03617743363652088,0.02088705104863515,3
scaling,no_bias_n100,accuracy_maf_mid,0.8777674833933512,0.0429317820623422,0.02478667593048362,3
scaling,no_bias_n100,accuracy_maf_high,0.8913275996843973,0.02971299936871662,0.017154808183959723,3
scaling,no_bias_n100,baseline_explicit_ld_accuracy_maf_low,0.9068732857704163,0.0427526315367689,0.02468324332631841,3
scaling,no_bias_n100,baseline_explicit_ld_accuracy_maf_mid,0.8952698707580566,0.009977665233451406,0.00576060770841714,3
scaling,no_bias_n100,baseline_explicit_ld_accuracy_maf_high,0.8211733301480612,0.026693603475559043,0.015411559152255144,3
scaling,no_bias_n100,baseline_majority_accuracy_maf_low,0.8576440811157227,0.012861876260293316,0.007425807721164004,3
scaling,no_bias_n100,baseline_majority_accuracy_maf_mid,0.7180741230646769,0.07552381667317189,0.04360369588648374,3
scaling,no_bias_n100,baseline_majority_accuracy_maf_high,0.5786086519559225,0.017347390186173702,0.01001552039372486,3
scaling,no_bias_n100,attention_vs_r2_pearson,0.43684446872812466,0.13583277597895477,0.07842308977622367,3
scaling,no_bias_n100,attention_vs_r2_spearman,0.36430637935108,0.12173534576572874,0.07028393464773566,3
scaling,no_bias_n100,bias_vs_r2_pearson,0.0,0.0,0.0,3
scaling,no_bias_n100,bias_vs_r2_spearman,0.13028786411645016,0.056963682309113216,0.03288799731519884,3
scaling,no_bias_n100,attention_vs_r2_partial_pearson,0.3944658993455119,0.14713276443466,0.08494714115296476,3
scaling,no_bias_n100,bias_vs_r2_partial_pearson,0.0,0.0,0.0,3
scaling,no_bias_n100,distance_baseline_vs_r2_pearson,0.21611000472160144,0.05381309965423747,0.031069007571302164,3
scaling,both_n100,imputation_accuracy,0.911673347155253,0.015368367728150829,0.00887293124485304,3
scaling,both_n100,dosage_r2,0.8475633790731472,0.05010678916089718,0.028929168210271812,3
scaling,both_n100,train_accuracy,0.9487015801931158,0.005662379657987707,0.003269176419793064,3
scaling,both_n100,val_accuracy,0.9314068754514059,0.007075357084938859,0.004084959317602176,3
scaling,both_n100,baseline_majority_accuracy,0.7237359086672465,0.0694967734275806,0.04012398084622409,3
scaling,both_n100,baseline_explicit_ld_accuracy,0.8927179574966431,0.01859465272114205,0.01073562775403897,3
scaling,both_n100,model_minus_explicit_ld,0.018955389658610027,0.013528530159285897,0.007810700529203684,3
scaling,both_n100,model_minus_majority,0.1879374384880066,0.0734422490585144,0.042401902263824835,3
scaling,both_n100,explicit_r2_seconds,0.00026781367099223036,3.6959535646419285e-06,2.1338597854583746e-06,3
scaling,both_n100,accuracy_maf_low,0.8835804462432861,0.043816266416752764,0.02529733321059657,3
scaling,both_n100,accuracy_maf_mid,0.8952945470809937,0.028367622895134215,0.01637805471477553,3
scaling,both_n100,accuracy_maf_high,0.9164231816927592,0.015086562804975837,0.008710231096598995,3
scaling,both_n100,baseline_explicit_ld_accuracy_maf_low,0.9068732857704163,0.0427526315367689,0.02468324332631841,3
scaling,both_n100,baseline_explicit_ld_accuracy_maf_mid,0.8952698707580566,0.009977665233451406,0.00576060770841714,3
scaling,both_n100,baseline_explicit_ld_accuracy_maf_high,0.8211733301480612,0.026693603475559043,0.015411559152255144,3
scaling,both_n100,baseline_majority_accuracy_maf_low,0.8576440811157227,0.012861876260293316,0.007425807721164004,3
scaling,both_n100,baseline_majority_accuracy_maf_mid,0.7180741230646769,0.07552381667317189,0.04360369588648374,3
scaling,both_n100,baseline_majority_accuracy_maf_high,0.5786086519559225,0.017347390186173702,0.01001552039372486,3
scaling,both_n100,attention_vs_r2_pearson,0.4136507479208139,0.13110389658456054,0.07569286998490489,3
scaling,both_n100,attention_vs_r2_spearman,0.28264593700405427,0.1764590095963161,0.10187865669136786,3
scaling,both_n100,bias_vs_r2_pearson,0.3881864377307193,0.2022056306014594,0.11674347525941063,3
scaling,both_n100,bias_vs_r2_spearman,0.10087562661330791,0.27733592837606563,0.16011997290387628,3
scaling,both_n100,attention_vs_r2_partial_pearson,0.3767282048550698,0.13302190199019806,0.07680023092215688,3
scaling,both_n100,bias_vs_r2_partial_pearson,0.3580578123085061,0.20076484693392233,0.11591163842111407,3
scaling,both_n100,distance_baseline_vs_r2_pearson,0.21611000472160144,0.05381309965423747,0.031069007571302164,3
scaling,no_bias_n200,imputation_accuracy,0.9757720033327738,0.006108292364245883,0.003526624240786296,3
scaling,no_bias_n200,dosage_r2,0.9604891142936225,0.013076010079418944,0.0075494379392787875,3
scaling,no_bias_n200,train_accuracy,0.9852605750500516,0.0051200950655858396,0.0029560882643924593,3
scaling,no_bias_n200,val_accuracy,0.9786547422409058,0.00864133194522249,0.004989075324731117,3
scaling,no_bias_n200,baseline_majority_accuracy,0.6389463146527609,0.024846928871857153,0.014345381072702213,3
scaling,no_bias_n200,baseline_explicit_ld_accuracy,0.9235090414683024,0.005906466545277855,0.0034101000498756888,3
