experiment,config,seed,mask_rate,top_k,epochs,accuracy,accuracy_maf_low,accuracy_maf_mid,accuracy_maf_high
ablation,both,0,0.1,63,600,0.9740362167358398,0.9680851101875305,0.9740698933601379,0.9763712882995605
ablation,both,0,0.3,63,600,0.9637937545776367,0.9437109231948853,0.9581289887428284,0.9762241840362549
ablation,both,0,0.5,63,600,0.9427546262741089,0.9212046265602112,0.9423249363899231,0.9518680572509766
ablation,both,0,0.7,63,600,0.9046127796173096,0.8995853066444397,0.9005773067474365,0.9097062945365906
ablation,both,1,0.1,63,600,0.9820942282676697,0.9832935333251953,0.983643114566803,0.9740932583808899
ablation,both,1,0.3,63,600,0.9682742953300476,0.9761263132095337,0.967509925365448,0.9537037014961243
ablation,both,1,0.5,63,600,0.9567819833755493,0.9639830589294434,0.9573923349380493,0.9392405152320862
ablation,both,1,0.7,63,600,0.9070091247558594,0.9274995923042297,0.901218593120575,0.8822886347770691
ablation,both,2,0.1,63,600,0.9761630296707153,0.9903134107589722,0.9399999976158142,0.9516128897666931
ablation,both,2,0.3,63,600,0.970325231552124,0.9882842302322388,0.9430980086326599,0.9234417080879211
ablation,both,2,0.5,63,600,0.9480408430099487,0.9785738587379456,0.9352651238441467,0.8441938161849976
ablation,both,2,0.7,63,600,0.9199821949005127,0.9689708352088928,0.8905907869338989,0.7611851692199707
ablation,both,3,0.1,63,600,0.9637709259986877,0.9650837779045105,0.9521738886833191,0.9698535799980164
ablation,both,3,0.3,63,600,0.9495418667793274,0.9561567306518555,0.9175404906272888,0.9646421670913696
ablation,both,3,0.5,63,600,0.9251974821090698,0.919623076915741,0.8977011442184448,0.9450737833976746
ablation,both,3,0.7,63,600,0.8979126214981079,0.9258006811141968,0.8470296263694763,0.9109411835670471
ablation,both,4,0.1,63,600,0.9675908088684082,0.9713114500045776,0.957446813583374,0.9701789021492004
ablation,both,4,0.3,63,600,0.9420309066772461,0.9403606057167053,0.9349641799926758,0.9451812505722046
ablation,both,4,0.5,63,600,0.9292589426040649,0.9348478317260742,0.9222816228866577,0.9301138520240784
ablation,both,4,0.7,63,600,0.8960340619087219,0.8976140022277832,0.8945767879486084,0.8960830569267273
ablation,both,5,0.1,63,600,0.9698532223701477,0.9723643660545349,0.9691749811172485,0.9659863710403442
ablation,both,5,0.3,63,600,0.9647951722145081,0.9793126583099365,0.9580946564674377,0.9487565755844116
ablation,both,5,0.5,63,600,0.9519472122192383,0.9653644561767578,0.9465689659118652,0.9351425766944885
ablation,both,5,0.7,63,600,0.913982093334198,0.9333142638206482,0.9112018346786499,0.876882791519165
ablation,both,6,0.1,63,600,0.9719034433364868,0.9603340029716492,0.9674556255340576,0.9885057210922241
ablation,both,6,0.3,63,600,0.9613463282585144,0.9526792168617249,0.9519206285476685,0.9834674000740051
ablation,both,6,0.5,63,600,0.9471424221992493,0.9365934729576111,0.9373679161071777,0.9710798859596252
ablation,both,6,0.7,63,600,0.9058974385261536,0.9025474190711975,0.8985129594802856,0.9208199977874756
ablation,both,7,0.1,63,600,0.9682717323303223,0.9568345546722412,0.9696969985961914,0.9828571677207947
ablation,both,7,0.3,63,600,0.9589945673942566,0.9464361071586609,0.9612739086151123,0.9721695184707642
ablation,both,7,0.5,63,600,0.9397998452186584,0.929508626461029,0.9399968981742859,0.9545801281929016
ablation,both,7,0.7,63,600,0.9123530387878418,0.9107875823974609,0.9047672152519226,0.9332056045532227
ablation,both,8,0.1,63,600,0.9635151028633118,0.9709419012069702,0.9461663961410522,0.9669509530067444
ablation,both,8,0.3,63,600,0.9612263441085815,0.9639323353767395,0.9444444179534912,0.9689046144485474
ablation,both,8,0.5,63,600,0.9432263374328613,0.953568696975708,0.9178082346916199,0.948083221912384
ablation,both,8,0.7,63,600,0.8967227935791016,0.9400712847709656,0.8626986145973206,0.8698896169662476
ablation,both,9,0.1,63,600,0.9703390002250671,0.9848661422729492,0.9748988151550293,0.9342629313468933
ablation,both,9,0.3,63,600,0.9556477665901184,0.9726078510284424,0.9517906308174133,0.9336158037185669
ablation,both,9,0.5,63,600,0.9357463717460632,0.9456200003623962,0.9408584237098694,0.9047024846076965
ablation,both,9,0.7,63,600,0.8799378871917725,0.9005980491638184,0.8860744833946228,0.8262167572975159
scaling,both_n100,0,0.3,63,600,0.8757240772247314,0.8925619721412659,0.8891304135322571,0.8457792401313782
scaling,both_n100,1,0.3,63,600,0.8846555352210999,0.8761467933654785,0.9164513349533081,0.8193668723106384
scaling,both_n100,2,0.3,63,600,0.9152798652648926,0.9548693299293518,0.8888888955116272,0.7875816822052002
scaling,both_n200,0,0.3,63,600,0.9622146487236023,0.952296793460846,0.9661798477172852,0.9624485373497009
scaling,both_n200,1,0.3,63,600,0.9333853721618652,0.9278075098991394,0.939345121383667,0.9277597665786743
scaling,both_n200,2,0.3,63,600,0.9345284700393677,0.9392971396446228,0.9381271004676819,0.9247311949729919
scaling,both_n400,0,0.3,63,600,0.9665486216545105,0.954829752445221,0.9615239500999451,0.9750919938087463
scaling,both_n400,1,0.3,63,600,0.9704490303993225,0.9749711155891418,0.9672619104385376,0.9713804721832275
scaling,both_n400,2,0.3,63,600,0.963716447353363,0.9846938848495483,0.9420442581176758,0.9024389982223511
scaling,both_n800,0,0.3,63,600,0.9748398661613464,0.9407198429107666,0.976945698261261,0.9795006513595581
scaling,both_n800,1,0.3,63,600,0.971008837223053,0.9758507013320923,0.9785448908805847,0.9403097629547119
scaling,both_n800,2,0.3,63,600,0.9780926704406738,0.9649904370307922,0.9798465967178345,0.9841758012771606
