experiment,config,seed,mask_rate,top_k,epochs,accuracy,accuracy_maf_low,accuracy_maf_mid,accuracy_maf_high
ablation,both,0,0.1,127,600,0.9668737053871155,0.983426570892334,0.9667141437530518,0.9511075615882874
ablation,both,0,0.3,127,600,0.9423385262489319,0.9675799012184143,0.9447885751724243,0.9143747091293335
ablation,both,0,0.5,127,600,0.9114097952842712,0.9510908722877502,0.911724328994751,0.8718316555023193
ablation,both,0,0.7,127,600,0.8526023626327515,0.9190623164176941,0.8538563251495361,0.7853386998176575
ablation,both,1,0.1,127,600,0.9878847002983093,0.9622815251350403,0.9916751384735107,0.9857714772224426
ablation,both,1,0.3,127,600,0.9797277450561523,0.926520824432373,0.9874274134635925,0.9759718179702759
ablation,both,1,0.5,127,600,0.9695830345153809,0.9271335005760193,0.9804120659828186,0.9563268423080444
ablation,both,1,0.7,127,600,0.9443589448928833,0.8712453246116638,0.9632405042648315,0.9210752248764038
ablation,both,2,0.1,127,600,0.9837806820869446,0.987459123134613,0.9847527146339417,0.9723697900772095
ablation,both,2,0.3,127,600,0.9801963567733765,0.9860323667526245,0.9805545806884766,0.9642181992530823
ablation,both,2,0.5,127,600,0.9618061780929565,0.9809099435806274,0.9579032063484192,0.9194477200508118
ablation,both,2,0.7,127,600,0.930060088634491,0.9678480625152588,0.9180001020431519,0.854044497013092
ablation,both,3,0.1,127,600,0.9895564913749695,0.9933161735534668,0.9877464771270752,0.9901701211929321
ablation,both,3,0.3,127,600,0.9826878905296326,0.9832258224487305,0.9836851954460144,0.9785834550857544
ablation,both,3,0.5,127,600,0.9706597924232483,0.96993488073349,0.9748945236206055,0.957503080368042
ablation,both,3,0.7,127,600,0.9417545795440674,0.9475085139274597,0.9574729800224304,0.8801701068878174
ablation,both,4,0.1,127,600,0.9786714911460876,0.9881656765937805,0.9529602527618408,0.9622266292572021
ablation,both,4,0.3,127,600,0.9725900888442993,0.9849607348442078,0.9488443732261658,0.9479807019233704
ablation,both,4,0.5,127,600,0.9542948603630066,0.9737077951431274,0.9109642505645752,0.9172224998474121
ablation,both,4,0.7,127,600,0.9243816137313843,0.9639765024185181,0.848088800907135,0.8455190658569336
ablation,both,5,0.1,127,600,0.9800660014152527,0.9802752137184143,0.9782906174659729,0.9814319014549255
ablation,both,5,0.3,127,600,0.9717081785202026,0.977756679058075,0.9676163196563721,0.9708596467971802
ablation,both,5,0.5,127,600,0.9515151381492615,0.9672635197639465,0.9394463896751404,0.9506441354751587
ablation,both,5,0.7,127,600,0.9084405899047852,0.9222971796989441,0.9006162285804749,0.9051499962806702
scaling,both_n200,0,0.3,127,600,0.890117883682251,0.9306443929672241,0.8784897923469543,0.874229371547699
scaling,both_n200,1,0.3,127,600,0.9383828639984131,0.9608045220375061,0.9527629017829895,0.9195830225944519
scaling,both_n200,2,0.3,127,600,0.932318925857544,0.9588941335678101,0.9198443293571472,0.9168218374252319
scaling,both_n400,0,0.3,127,600,0.9409367442131042,0.9495091438293457,0.9434229135513306,0.934974730014801
scaling,both_n400,1,0.3,127,600,0.9497005343437195,0.9565435647964478,0.9536738991737366,0.9406346082687378
scaling,both_n400,2,0.3,127,600,0.9770633578300476,0.9523099660873413,0.9884570837020874,0.9598393440246582
scaling,both_n1000,0,0.3,127,600,0.9432376027107239,0.9660578370094299,0.9457312226295471,0.9176416993141174
scaling,both_n1000,1,0.3,127,600,0.9796793460845947,0.9357484579086304,0.9852109551429749,0.9783499836921692
scaling,both_n1000,2,0.3,127,600,0.9770053625106812,0.9860839247703552,0.9769041538238525,0.9534161686897278
